x,y,z
4.69899,4.2869697,10.290689
0.98099995,1.9914299,8.76033
2.0600998,1.53036,8.98596
10.143539,-3.14901,0.058859996
10.44765,8.16192,-1.7069399
9.6432295,0.22563,-0.13734
10.02582,-2.06991,3.2373
9.6432295,-1.03986,-0.90252
8.49546,-4.7578497,3.85533
7.61256,1.3047299,0.7848
11.59542,-1.9521899,2.9331899
14.508989,2.4524999,0.90252
4.69899,-1.0791,2.58984
14.1264,0.14715,1.04967
5.04234,-0.03924,7.41636
7.8381896,1.45188,-9.52551
2.8645198,-3.1784399,-9.868859
8.15211,3.1784399,-8.721089
6.72966,-1.2262499,-8.44641
7.87743,2.10915,-4.15944
9.4176,2.99205,-2.9331899
4.39488,-0.84366,3.39426
8.91729,1.9914299,1.82466
9.72171,1.1477699,0.32373
12.51756,-2.33478,0.0981
8.15211,0.56898,0.86328
10.90872,4.17906,-4.62051
8.0343895,-2.49174,4.19868
10.48689,2.8743298,1.5892199
9.98658,2.10915,1.28511
17.11845,-4.06134,-1.4714999
5.34645,-0.65726995,0.28449
13.9694395,7.77933,-3.5806499
6.46479,-0.53955,4.34583
9.80019,2.71737,1.01043
10.290689,2.2955399,1.28511
11.51694,-2.72718,0.36297
5.5426497,1.1477699,-0.63764995
12.252689,-1.42245,0.51993
8.11287,0.18639,2.08953
8.76033,0.22563,1.01043
14.66595,2.2170599,4.2771597
7.5340796,0.76518,0.94175994
6.9651,1.34397,-0.17658
12.78243,7.62237,-4.15944
11.63466,-1.2654899,2.2072499
9.0252,0.99081,0.82404
14.469749,5.20911,1.4714999
5.5818896,2.83509,0.51993
15.548849,10.37898,-3.3550198
4.81671,-2.14839,3.54141
8.91729,2.03067,0.058859996
10.790999,4.6008897,1.97181
6.1901097,-1.50093,4.9246197
4.01229,-2.3053498,-1.28511
14.35203,-2.91357,-0.55917
5.7388496,0.6867,0.40221
10.790999,2.10915,-0.28449
18.8352,-4.37526,-2.16801
5.2385397,1.2654899,2.51136
7.8381896,-2.4524999,1.4322599
5.5426497,1.41264,2.89395
9.52551,2.2955399,0.74556
14.9308195,-0.46107,-0.55917
5.50341,1.1477699,1.7069399
15.81372,10.957769,-4.00248
9.52551,-1.80504,4.46355
8.87805,2.41326,0.74556
10.48689,5.4053097,2.08953
7.26921,-0.50031,4.50279
4.7774696,-2.03067,-1.4714999
15.470369,-1.2262499,-0.17658
9.37836,3.0214798,0.01962
8.76033,4.78728,1.89333
10.75176,-5.02272,-0.51993
5.66037,-1.64808,0.24524999
13.16502,-0.65726995,-1.04967
12.939389,0.42183,-1.6284599
9.44703,1.1870099,0.66708
14.548229,3.48255,-1.04967
7.91667,3.86514,-0.13734
10.25145,0.95157,-2.5505998
4.65975,-1.9914299,2.6977499
9.33912,2.14839,1.12815
11.51694,5.13063,3.5021698
14.70519,2.06991,-1.7461799
3.85533,-1.0791,-0.59841
14.970059,-2.49174,0.40221
8.534699,0.95157,-1.5892199
10.48689,1.0692899,-0.0981
12.51756,3.86514,1.08891
6.42555,0.18639,2.5505998
12.97863,10.11411,-4.7676597
6.3470697,0.76518,4.08096
8.534699,0.84366,0.94175994
15.048539,4.06134,-0.13734
7.6517997,0.50031,0.28449
9.6432295,1.1477699,-2.1287699
8.6818495,2.8743298,-2.08953
12.939389,1.3047299,-0.55917
9.182159,0.95157,0.98099995
9.0252,0.99081,1.01043
13.400459,4.06134,1.4322599
8.721089,2.83509,0.36297
8.41698,-0.03924,-3.15882
7.4556,2.17782,-1.78542
14.8131,1.9129499,-2.0502899
9.10368,1.49112,3.2373
8.49546,0.76518,1.78542
12.860909,3.44331,0.74556
14.35203,-1.42245,-1.20663
5.27778,0.30411,-1.44207
16.19631,1.7952299,-1.5107399
12.82167,0.18639,1.32435
8.79957,2.2955399,2.31516
7.61256,3.29616,1.78542
7.3476896,0.60822,2.16801
5.5426497,0.26487,-1.20663
11.40903,4.9049997,-1.4714999
12.5568,0.03924,-1.24587
9.76095,1.1477699,0.7848
13.586849,1.8737099,-0.28449
9.98658,3.8258998,0.7848
6.72966,2.2170599,-0.51993
15.509609,1.49112,3.31578
11.71314,1.41264,-0.63764995
9.868859,0.99081,1.32435
11.252069,1.45188,-0.55917
9.0252,4.66956,2.27592
6.00372,0.6867,-0.44145
13.361219,7.2005396,-0.36297
8.76033,0.95157,-0.55917
9.83943,1.8344699,1.01043
13.51818,0.95157,-1.08891
8.6818495,1.8737099,0.24524999
14.66595,5.32683,-1.24587
5.7388496,0.53955,1.12815
10.143539,1.64808,0.0981
17.22636,-3.3353999,-1.32435
5.5426497,0.76518,2.16801
15.31341,10.349549,-2.9331899
7.6517997,-1.46169,4.84614
8.37774,1.9521899,0.94175994
11.44827,4.36545,3.31578
7.5340796,-0.38259,4.23792
4.3164,-0.57879,-1.44207
16.775099,-2.83509,-0.70632
6.9945297,0.6867,-1.04967
10.22202,3.86514,1.82466
10.06506,-4.37526,0.7848
4.7382298,-1.46169,-0.21582
15.156449,3.29616,0.94175994
10.25145,-0.46107,-1.16739
9.4176,1.3047299,0.44145
14.047919,3.6002698,0.86328
7.7989497,2.75661,-0.01962
7.57332,2.57022,-1.32435
6.61194,-2.79585,-1.4714999
7.0337696,2.2563,2.01105
9.6432295,3.8258998,1.7461799
13.3219795,-6.32745,-1.5499799
4.39488,-2.03067,-0.7848
12.09573,6.17049,-2.97243
10.22202,-1.50093,1.93257
9.182159,3.21768,-0.48068997
9.94734,1.5696,1.6284599
11.978009,2.10915,2.65851
6.12144,0.76518,1.7461799
3.5119798,-0.27468,-0.86328
16.50042,3.37464,-0.28449
10.56537,0.38259,-0.59841
9.72171,2.10915,0.55917
19.109879,-3.4138799,-0.86328
4.35564,1.64808,2.65851
13.9694395,10.57518,-3.54141
9.52551,-2.57022,3.96324
8.220779,1.72656,-0.17658
12.860909,6.01353,1.6284599
4.85595,-1.9914299,4.88538
3.6297,-1.72656,-0.7848
15.970679,-2.79585,-1.5892199
7.61256,1.1085299,-0.98099995
10.44765,1.34397,-0.59841
15.35265,-4.9049997,-1.40283
5.2385397,0.38259,-1.16739
15.27417,-1.53036,0.74556
8.073629,1.3734,-0.48068997
10.1043,-0.84366,-0.21582
14.008679,1.2262499,0.94175994
5.4249296,0.56898,0.94175994
12.2134495,1.60884,-4.19868
5.0815797,-2.14839,0.82404
10.06506,-3.6002698,0.40221
8.76033,-2.3740199,-2.81547
12.09573,3.29616,-8.8289995
10.48689,0.60822,4.15944
4.69899,0.38259,5.11101
2.1287699,1.45188,8.44641
1.21644,3.06072,9.25083
